SeqCluster,ClusterNumber,Domain_IDs,Pfam_result
CK_00000119,CK_Syn_BL107_05954,PF01964,PF01964
CK_00000123,CK_Syn_PROS-U-1_00057,PF01370,PF01370
CK_00000124,CK_Syn_RS9907_02993,PF07690,PF07690
CK_00000125,CK_Syn_BIOS-E4-1_04280,PF00772  PF03796,PF00772|PF03796
CK_00000126,CK_Syn_A15-60_01035,PF00437,PF00437
CK_00000134,CK_Pro_MIT9123_01135,PF00310  PF04898  PF01645  PF01645  PF01645  PF01645  PF01645  PF01493,PF00310|PF01493|PF01645|PF04898
CK_00000136,CK_Syn_A18-40_02265,PF13646  PF03130  PF13646  PF02985  PF12717,PF13646
CK_00000138,CK_Pro_MIT9314_00832,PF00171,PF00171
CK_00000140,CK_Syn_RS9909_02390,PF13409  PF13410,PF13409|PF13410
CK_00000144,CK_Syn_PROS-7-1_02075,PF03372,PF03372
CK_00000145,CK_Syn_MEDNS5_00672,PF05834,PF01266
CK_00000149,CK_Pro_MIT0702_00301,PF00226  PF13355,PF13355
CK_00000152,CK_Pro_MIT9311_00369,PF00275,PF00275
CK_00000153,CK_Syn_PROS-9-1_00752,PF00676,PF00676
CK_00000156,CK_Syn_A18-46.1_01020,PF13604  PF18335  PF13538,PF13245|PF13538
CK_00000157,CK_Syn_A15-60_02268,PF00465,PF00465
CK_00000158,CK_Cya_CB0205_50027,PF01225  PF08245,PF01225|PF02875|PF08245
CK_00000161,CK_Pro_MIT0701_02689,PF01425,PF01425
CK_00000164,CK_Cya_NS01_01223,PF13393,PF13393
CK_00000165,CK_Pro_NATL1A_09831,PF00528,PF00528
CK_00000168,CK_Syn_RS9909_01112,PF08206  PF17876  PF00773  PF18614,PF00575|PF00773|PF08206
CK_00000169,CK_Syn_A18-46.1_01364,PF02915,PF02915
CK_00000173,CK_Pro_LG_00503,PF00421  PF00421,PF00421
CK_00000181,CK_Pro_MIT9303_04361,PF04563  PF04561  PF00562  PF04560  PF04560,PF00562|PF04560|PF04561|PF04563|PF04565|PF10385
CK_00000184,CK_Syn_A15-127_02302,PF08355  PF12631  PF01926  PF05128,PF01926|PF05128
CK_00000188,CK_Syn_A15-24_00382,PF07498  PF16258,PF07498|PF16258
CK_00000189,CK_Syn_KORDI-52_24070,PF03600  PF02080  PF02080  PF00939,PF02080|PF03600
CK_00000193,CK_Pro_LG_01094,PF17820  PF04055  PF04459,PF04459|PF17820|PF19238
CK_00000194,CK_Pro_MIT9515_10391,PF02673,PF02673
CK_00000195,CK_Pro_MIT9313_00179,PF11318,PF11318
CK_00000196,CK_Pro_MIT9201_01900,PF00890  PF02910,PF00890|PF02910
CK_00000197,CK_Syn_PROS-7-1_02504,PF07884  PF00085,PF07884
CK_00000198,CK_Syn_RS9917_07410,PF00919  PF04055  PF18693,PF00919|PF04055|PF18693
CK_00000201,CK_Syn_WH8103_02531,PF01242  PF01242  PF01242,PF01242
CK_00000205,CK_Syn_PROS-U-1_02815,PF00933  PF18034,PF00933|PF18034
CK_00000206,CK_Syn_SYN20_03069,PF02602,PF02602
CK_00000208,CK_Syn_BOUM118_02453,PF01593,PF01593
CK_00000212,CK_Syn_NOUM97013_02602,PF01370  PF08338,PF01370|PF08338
CK_00000217,CK_Syn_TAK9802_02403,PF13177  PF03215,PF13177
CK_00000220,CK_Cya_PCC6307_02914,PF02504,PF02504
CK_00000221,CK_Cya_PCC6307_02913,PF08392  PF02797  PF02797,PF08541|PF08545
CK_00000222,CK_Pro_MIT9312_00139,PF00698,PF00698
CK_00000225,CK_Syn_WH8101_02668,PF01743  PF01743  PF12627  PF13735,PF01743|PF12627
CK_00000227,CK_Syn_WH8016_01850,PF00494,PF00494
CK_00000228,CK_Syn_SYN20_03118,PF01593,PF01593
CK_00000230,CK_Syn_RS9902_02710,PF00126  PF03466,PF00126|PF03466
CK_00000232,CK_Pro_MIT9202_00012,PF02616,PF02616
CK_00000233,CK_Syn_A15-62_02568,PF02219,PF02219
CK_00000236,CK_Syn_BIOS-E4-1_04134,PF01513,PF01513|PF20143
CK_00000240,CK_Pro_GP2_00330,PF00146,PF00146
CK_00000241,CK_Pro_GP2_00331,PF00285,PF00285
CK_00000242,CK_Pro_MIT9202_00871,PF03023,PF03023
CK_00000244,CK_Pro_MIT9202_00737,PF00909,PF00909
CK_00000245,CK_Pro_MIT9321_00778,PF02401,PF02401
CK_00000246,CK_Syn_A15-62_00266,PF02142  PF01808,PF01808|PF02142
CK_00000249,CK_Pro_MIT9123_00300,PF16926  PF00512  PF02518,PF00512|PF02518
CK_00000251,CK_Syn_NOUM97013_00313,PF01702,PF01702
CK_00000253,CK_Syn_WH7805_07766,PF01408  PF08635,PF01408|PF22725
CK_00000254,CK_Syn_BL107_05334,PF01595  PF01595  PF00571  PF00478  PF00571  PF03471,PF00571|PF01595|PF03471
CK_00000256,CK_Pro_MIT9301_03001,PF01571  PF08669, 
CK_00000257,CK_Pro_MIT9401_00531,PF01930  PF14520  PF13482,PF13482
CK_00000258,CK_Pro_HNLC2_00319,PF02878  PF02878  PF02879  PF02880  PF00408,PF00408|PF02878|PF02879|PF02880
CK_00000259,CK_Pro_HNLC2_00321,PF03055,PF03055
CK_00000261,CK_Pro_MIT9107_01677,PF13561,PF13561
CK_00000264,CK_Syn_PROS-7-1_00319,PF02470  PF11887,PF02470
CK_00000265,CK_Pro_MIT9202_00533,PF01933,PF01933
CK_00000267,CK_Syn_SYN20_00317,PF01058,PF01058
CK_00000270,CK_Pro_MIT9321_00810,PF14870,PF14870
CK_00000273,CK_Syn_PROS-9-1_00253,PF03721  PF00984  PF00984  PF03720,PF00984|PF03720|PF03721
CK_00000274,CK_Syn_A15-127_00217,PF16363,PF16363
CK_00000275,CK_Syn_A15-24_00258,PF13393  PF12745,PF03129|PF13393
CK_00000277,CK_Syn_WH8109_00184,PF07992  PF00586  PF02769,PF00586|PF02769
CK_00000278,CK_Pro_MIT9311_00839,PF01743  PF01743  PF13735,PF01743
CK_00000280,CK_Pro_MIT0603_01903,PF00180,PF00180
CK_00000281,CK_Syn_WH7803_00215,PF07005  PF17042  PF17042,PF07005|PF17042
CK_00000282,CK_Syn_CC9605_00156,PF01263,PF01263
CK_00000283,CK_Syn_BOUM118_00157,PF00999,PF00999
CK_00000288,CK_Pro_MIT9313_01953,PF13230  PF13537  PF13537  PF01380  PF01380,PF01380|PF13522
CK_00000291,CK_Cya_PCC6307_02185,PF00456  PF02779  PF02779  PF02780,PF00456|PF02779|PF22613
CK_00000292,CK_Cya_CB0205_02836,PF01546  PF07687,PF01546|PF07687
CK_00000293,CK_Syn_RS9915_00143,PF14559  PF14559  PF07219  PF13424  PF13432,PF13432
CK_00000294,CK_Pro_AS9601_18251,PF05496  PF17864  PF05491,PF05491|PF05496|PF17864
CK_00000297,CK_Pro_LG_01641,PF01336  PF00152,PF00152|PF01336
CK_00000300,CK_Syn_CC9605_00105,PF06723,PF06723
CK_00000303,CK_Pro_MIT9515_18141,PF05221  PF00670  PF00670  PF00670,PF00670|PF05221
CK_00000305,CK_Pro_MIT9211_17531,PF00294,PF00294
CK_00000307,CK_Syn_WH8102_00101,PF03448  PF01368  PF00571  PF00571  PF01769,PF00571|PF01769|PF03448
CK_00000309,CK_Syn_KORDI-100_01630,PF02518  PF00204  PF00204  PF01751  PF16898,PF00204|PF00986|PF01751|PF02518
CK_00000310,CK_Pro_NATL1A_20891,PF01745  PF01715,PF01715
CK_00000312,CK_Syn_KORDI-100_01590,PF00392,PF00392
CK_00000315,CK_Syn_KORDI-100_00820,PF01624  PF01624  PF05188  PF05192  PF05190  PF00488,PF00488|PF01624|PF05188|PF05190|PF05192
CK_00000317,CK_Syn_A18-40_00078,PF04851  PF00271  PF12344  PF02151,PF00271|PF02151|PF04851|PF12344|PF17757
CK_00000318,CK_Syn_RS9909_00074,PF04481,PF04481
CK_00000319,CK_Syn_A15-28_00077,PF01171  PF09179,PF01171|PF09179
CK_00000321,CK_Pro_SS120_01807,PF06144  PF12169,PF06144|PF21694
CK_00000322,CK_Syn_RS9916_37927,PF00753  PF12706  PF07521  PF17770,PF00753|PF07521|PF17770|PF22505
CK_00000323,CK_Syn_RS9909_00070,PF00701,PF00701
CK_00000324,CK_Pro_MIT9303_00711,PF01118  PF02774,PF01118|PF02774
CK_00000325,CK_Syn_RS9902_00068,PF06689  PF06689  PF07724  PF10431,PF06689|PF07724|PF10431
CK_00000326,CK_Pro_MIT0601_00345,PF13177  PF13177  PF03215  PF12169  PF12170,PF12169|PF13177|PF22608
CK_00000327,CK_Pro_MIT9107_00076,PF03142,PF13641
CK_00000332,CK_Cya_WH5701_02974,PF05690,PF05690
CK_00000333,CK_Cya_NS01_00061,PF05693,PF00534|PF13439
CK_00000334,CK_Syn_MVIR-18-1_00055,PF03717  PF00905,PF00905|PF03717
CK_00000336,CK_Pro_MIT9322_00408,PF00117  PF00764  PF02540  PF00958,PF00117|PF00958|PF02540
CK_00000337,CK_Syn_PROS-9-1_00049,PF01888,PF01888
CK_00000338,CK_Syn_WH8020_00057,PF00266  PF00266,PF00266
CK_00000340,CK_Pro_MIT0601_01042,PF13460  PF01073,PF01370
CK_00000341,CK_Pro_MIT9322_00398,PF04166,PF04166
CK_00000344,CK_Syn_WH8101_00031,PF05757  PF00160,PF00160|PF21329
CK_00000345,CK_Pro_MIT9311_01453,PF00586  PF02769,PF00586|PF02769
CK_00000346,CK_Pro_MIT9515_00211,PF01225  PF08245  PF02875,PF01225|PF02875|PF08245
CK_00000347,CK_Pro_MIT0604_00021,PF01565  PF02873,PF01565|PF02873
CK_00000349,CK_Syn_KORDI-100_00240,PF16745  PF03193,PF03193
CK_00000350,CK_Syn_A15-127_00022,PF00226  PF00226  PF01556  PF00684,PF00226|PF00684|PF01556
CK_00000352,CK_Syn_RS9902_00017,PF03486,PF03486|PF22780
CK_00000353,CK_Syn_PROS-9-1_00015,PF01207  PF01207,PF01207
CK_00000354,CK_Pro_MIT9312_00012,PF00206  PF14698  PF14698,PF00206|PF14698
CK_00000355,CK_Pro_HNLC2_01629,PF07228,PF07228
CK_00000359,CK_Syn_WH7803_00007,PF13486  PF13187  PF12838  PF13484,PF08331|PF13484
CK_00000360,CK_Pro_MIT9301_00051,PF09295  PF14559  PF13181  PF13431  PF13414,PF13432
CK_00000361,CK_Pro_AS9601_00031,PF13230  PF00156,PF00156|PF13522
CK_00000362,CK_Pro_NATL2A_01330,PF18072  PF00586  PF02769  PF00586  PF02769,PF00586|PF02769|PF18072
CK_00000364,CK_Pro_SS120_00001,PF00712  PF02767  PF02768,PF00712|PF02767|PF02768
CK_00000366,CK_Syn_M16.1_02556,PF02463,PF02463
CK_00000367,CK_Pro_UH18301_01549,PF13555  PF17760  PF17755  PF00005  PF13304  PF00005,PF17755|PF17760
CK_00000368,CK_Syn_A15-44_03205,PF00862  PF00862  PF00534  PF00534  PF05116,PF00534|PF05116|PF13439
CK_00000369,CK_Syn_WH8101_02929,PF02826  PF02222  PF17769,PF02222|PF21244|PF22660
CK_00000371,CK_Pro_GP2_01875,PF10555  PF00953,PF00953|PF10555
CK_00000373,CK_Pro_MIT0602_01564,PF00764,PF00764|PF20979
CK_00000376,CK_Syn_A15-62_02818,PF08501  PF01262  PF18317,PF08501|PF18317
CK_00000377,CK_Pro_NATL1A_21851,PF01266,PF01266
CK_00000378,CK_Syn_PROS-7-1_50003,PF04932,PF04932
CK_00000380,CK_Pro_MIT0604_02070,PF11791  PF06434  PF06434  PF06434  PF00330,PF00330|PF06434|PF11791
CK_00000381,CK_Pro_MIT9322_00126,PF00793,PF00793
CK_00000383,CK_Syn_PROS-9-1_02794,PF13089  PF02503  PF13090  PF17941  PF13090,PF02503|PF13089|PF13090|PF17941
CK_00000384,CK_Syn_CC9902_02282,PF00590,PF00590
CK_00000385,CK_Pro_MIT9314_01492,PF01063,PF01063
CK_00000386,CK_Syn_A15-24_02670,PF04715  PF00425,PF00425
CK_00000389,CK_Syn_A15-44_03108,PF06418  PF00117  PF00117,PF00117|PF06418
CK_00000390,CK_Pro_MED4_01688,PF01336  PF00152  PF02938,PF00152|PF01336|PF02938
CK_00000391,CK_Syn_RS9909_02762,PF01571  PF08669,PF01571|PF08669
CK_00000392,CK_Pro_SS120_01849,PF00491,PF00491
CK_00000393,CK_Pro_MIT9322_00140,PF17284  PF01564,PF01564|PF17284
CK_00000395,CK_Pro_MIT9313_02211,PF03819  PF03819  PF01503,PF03819
CK_00000396,CK_Pro_MIT0702_02323,PF13483,PF13483
CK_00000398,CK_Pro_MIT9401_00313,PF00106,PF00106
CK_00000401,CK_Syn_PROS-U-1_03032,PF00133  PF09334  PF08264  PF08264  PF10458,PF00133|PF08264|PF10458
CK_00000406,CK_Syn_WH8102_02382,PF01134  PF13932  PF13932,PF01134|PF13932|PF21680
CK_00000408,CK_Syn_CC9605_02540,PF06838,PF06838
CK_00000410,CK_Syn_RCC307_02390,PF02347  PF02347  PF00266  PF02347,PF02347|PF21478
CK_00000411,CK_Syn_MEDNS5_02638,PF00753  PF12724  PF01613,PF00258|PF01613|PF19583
CK_00000412,CK_Syn_WH8103_02724,PF00753  PF12724  PF01613,PF01613|PF19583
CK_00000413,CK_Syn_A18-40_02660,PF12419  PF00176  PF02364  PF00271  PF14619,PF00176|PF00271|PF12419
CK_00000414,CK_Cya_WH5701_04865,PF01411  PF07973  PF08270  PF02272,PF01411|PF02272|PF07973
CK_00000415,CK_Pro_UH18301_00046,PF02784  PF00278,PF02784|PF17810|PF17944
CK_00000417,CK_Cya_WH5701_04925,PF01266,PF01266
CK_00000418,CK_Cya_CB0205_01588,PF02934  PF02637  PF02637,PF02637|PF02934
CK_00000420,CK_Syn_WH8101_02779,PF01960,PF01960
CK_00000421,CK_Pro_MIT9515_02381,PF03109  PF01636,PF03109
CK_00000422,CK_Syn_WH8016_01956,PF03952  PF03952  PF00113,PF00113|PF03952
CK_00000431,CK_Pro_MIT9107_01765,PF01180,PF01180
CK_00000432,CK_Syn_PROS-U-1_02933,PF00155,PF00155
CK_00000433,CK_Pro_MIT9123_00112,PF04007,PF03033|PF04101
CK_00000435,CK_Syn_PROS-7-1_02659,PF00071  PF12631  PF01926,PF01926
CK_00000436,CK_Syn_BOUM118_02563,PF10396  PF12631  PF12631  PF01926,PF01926|PF10396|PF12631
CK_00000437,CK_Syn_WH8103_02662,PF02749  PF01729,PF01729|PF02749
CK_00000438,CK_Pro_SS52_00365,PF03485  PF00750  PF05746,PF00750|PF03485|PF05746
CK_00000439,CK_Syn_M16.1_02365,PF00155,PF00155
CK_00000444,CK_Pro_MIT0603_00185,PF03462  PF00472,PF00472|PF03462
CK_00000446,CK_Syn_RS9909_02617,PF02951  PF02955,PF02951|PF02955
CK_00000447,CK_Pro_MIT0603_00181,PF01040,PF01040
CK_00000449,CK_Pro_MIT9322_00556,PF00374  PF00346,PF00346
CK_00000455,CK_Pro_MIT9312_00166,PF00291,PF00291
CK_00000458,CK_Pro_MIT0702_00458,PF00464,PF00464
CK_00000459,CK_Syn_PROS-U-1_00340,PF00994  PF00994  PF18146  PF02464,PF00994|PF02464|PF18146
CK_00000460,CK_Pro_MIT9107_01703,PF00330,PF00330
CK_00000462,CK_Pro_MIT9312_00256,PF06835  PF03968  PF12600,PF12600
CK_00000467,CK_Pro_PAC1_01230,PF11283,PF11283
CK_00000472,CK_Pro_MIT9116_01783,PF02878  PF02879  PF02880  PF00408,PF00408|PF02878|PF02879|PF02880
CK_00000475,CK_Syn_WH7803_00335,PF00133  PF08264  PF06827,PF00133|PF06827|PF08264
CK_00000477,CK_Pro_SB_00989,PF02729  PF00185  PF00185,PF00185|PF02729
CK_00000479,CK_Cya_PCC6307_01886,PF02441  PF02441  PF04127,PF02441|PF04127
CK_00000480,CK_Syn_KORDI-100_04130,PF01716,PF01716
CK_00000481,CK_Pro_SS35_01633,PF14306  PF14306  PF01747,PF01747|PF14306
CK_00000482,CK_Syn_MVIR-18-1_00410,PF01264,PF01264
CK_00000483,CK_Cya_NS01_02624,PF02310  PF04055,PF04055
CK_00000486,CK_Syn_RS9902_00311,PF00155,PF00155
CK_00000487,CK_Syn_WH7805_07311,PF00575  PF00575  PF10150,PF10150
CK_00000490,CK_Pro_NATL1A_19451,PF00800  PF01842,PF00800|PF01842
CK_00000491,CK_Pro_MIT9313_01785,PF02353,PF08241
CK_00000494,CK_Cya_CB0101_13145,PF00009  PF03144  PF03143  PF03143,PF00009|PF03143|PF03144
CK_00000495,CK_Pro_MIT9321_01274,PF00009  PF14492  PF03764  PF03764  PF03764  PF00679,PF00009|PF00679|PF03144|PF03764|PF14492
CK_00000500,CK_Syn_WH8101_00442,PF11760  PF11761  PF01890  PF01890  PF00590,PF00590|PF01890|PF11760
CK_00000502,CK_Pro_MIT0604_01861,PF00535,PF00535
CK_00000503,CK_Pro_MIT0604_01857,PF18348  PF10844  PF00877,PF00877|PF18348
CK_00000504,CK_Pro_EQPAC1_01072,PF13354,PF13354
CK_00000505,CK_Syn_RS9909_00506,PF01168  PF00842,PF00842|PF01168
CK_00000507,CK_Pro_MIT9321_01294,PF16326  PF03462  PF00472,PF00472|PF03462
CK_00000511,CK_Syn_WH8102_02092,PF01416,PF01416
CK_00000513,CK_Cya_CB0205_04816,PF01193  PF01000  PF01193  PF03118,PF01000|PF01193|PF03118
CK_00000518,CK_Cya_PCC6307_01829,PF10559  PF00344,PF00344
CK_00000531,CK_Pro_MIT9312_01647,PF00181  PF00181  PF03947,PF00181|PF03947
CK_00000536,CK_Pro_MIT0602_01734,PF13187  PF14697  PF13237  PF12617,PF00037|PF12617
CK_00000538,CK_Pro_MIT9211_16811,PF00154,PF00154|PF21096
CK_00000540,CK_Syn_A18-46.1_02413,PF13307,PF13307
CK_00000541,CK_Pro_AS9601_17721,PF02153,PF02153|PF20463
CK_00000542,CK_Syn_WH8101_00499,PF01593,PF01593
CK_00000543,CK_Pro_HNLC2_01449,PF03881,PF03881
CK_00000545,CK_Syn_WH8101_00503,PF00899  PF00581,PF00581|PF00899
CK_00000546,CK_Syn_WH8103_02360,PF02572  PF02572  PF02572,PF02572
CK_00000547,CK_Syn_ROS8604_00662,PF00733,PF00733
CK_00000549,CK_Syn_A18-25c_00464,PF02463,PF02463
CK_00000551,CK_Syn_CC9616_00517,PF00311,PF00311
CK_00000552,CK_Pro_MIT9401_00449,PF04107,PF04107
CK_00000553,CK_Pro_UH18301_00974,PF04715  PF00425,PF00425|PF04715
CK_00000555,CK_Pro_MIT0703_01330,PF00512  PF13581,PF00512
CK_00000556,CK_Cya_PCC7001_01093,PF01098,PF01098
CK_00000557,CK_Syn_BIOS-E4-1_00579,PF01883  PF10609,PF01883|PF10609
CK_00000558,CK_Syn_A18-40_02301,PF01218,PF01218
CK_00000561,CK_Pro_MIT9515_17731,PF02684, 
CK_00000563,CK_Syn_MINOS11_02234,PF00586  PF02769,PF00586|PF02769
CK_00000564,CK_Cya_PCC6307_01643,PF02569  PF02224  PF02224,PF02224|PF02569
CK_00000566,CK_Syn_A15-24_02186,PF00370  PF00370  PF02782,PF02782
CK_00000567,CK_Pro_NATL1A_04001,PF00438  PF00438  PF00438  PF02772  PF02773,PF00438|PF02772|PF02773
CK_00000568,CK_Syn_WH8102_01985,PF00575  PF00575  PF05764  PF00575,PF00575
CK_00000570,CK_Syn_ROS8604_00759,PF00421,PF00421
CK_00000573,CK_Syn_CC9311_00540,PF17827  PF13847,PF05175
CK_00000576,CK_Pro_MIT0702_00995,PF10609,PF10609
CK_00000578,CK_Pro_MIT9515_03551,PF01966,PF01966|PF19276
CK_00000581,CK_Syn_WH8016_02801,PF12899,PF12899
CK_00000582,CK_Syn_A15-44_00504,PF01149  PF06831  PF06827,PF01149|PF06827|PF06831
CK_00000586,CK_Syn_WH8102_01931,PF05192  PF00488  PF00488  PF01713,PF00488|PF01713|PF20297
CK_00000587,CK_Pro_MIT0703_00237,PF01018  PF01926  PF10662,PF01018|PF01926
CK_00000588,CK_Pro_MIT9107_01742,PF04952,PF04952
CK_00000589,CK_Pro_SS35_00949,PF00294,PF00294
CK_00000590,CK_Syn_WH8016_01328,PF00590,PF00590
CK_00000591,CK_Pro_EQPAC1_00836,PF00459,PF00459
CK_00000592,CK_Pro_MIT9311_01077,PF01138  PF03725  PF03726  PF01138  PF03725  PF00013  PF05764  PF00575,PF00013|PF00575|PF01138|PF03725|PF03726
CK_00000594,CK_Cya_CB0205_00192,PF02163  PF13180,PF02163|PF13180
CK_00000595,CK_Syn_CC9605_00573,PF02403  PF02403  PF00587,PF00587|PF02403
CK_00000596,CK_Syn_BIOS-U3-1_02593,PF01695  PF01078  PF07728  PF00004  PF17862,PF00004|PF17862
CK_00000597,CK_Syn_RS9916_33717,PF02096,PF02096
CK_00000601,CK_Syn_CC9605_00583,PF01343,PF01343
CK_00000602,CK_Pro_MIT9303_06161,PF06027  PF00892,PF00892
CK_00000604,CK_Syn_CC9616_00785,PF16917,PF03099
CK_00000605,CK_Pro_MIT0701_01913,PF06605  PF01551  PF01551,PF01551
CK_00000606,CK_Syn_A18-40_02078,PF01059  PF00361,PF00361
CK_00000607,CK_Cya_PCC7001_01114,PF01751  PF01751  PF01131  PF13368  PF13368  PF13368  PF13368,PF01131|PF01751|PF13368
CK_00000609,CK_Syn_RS9902_02493,PF02277,PF02277
CK_00000610,CK_Cya_NS01_02221, ,PF13343
CK_00000611,CK_Cya_WH5701_07711,PF00248  PF13534,PF00248|PF13187
CK_00000614,CK_Pro_MIT9301_04701,PF02790  PF00116,PF00116|PF02790
CK_00000615,CK_Pro_MIT0801_00530,PF02628,PF02628
CK_00000616,CK_Syn_A18-40_02062,PF01040,PF01040
CK_00000617,CK_Syn_MINOS11_00766,PF00497  PF07885  PF07885  PF02254  PF02080,PF02080|PF02254|PF07885
CK_00000619,CK_Syn_A18-40_02050,PF01040,PF01040
CK_00000620,CK_Pro_GP2_00631,PF02541  PF01966,PF02541|PF21447
CK_00000621,CK_Pro_MIT0701_02435,PF00590,PF00590
CK_00000622,CK_Syn_NOUM97013_02163,PF01790,PF01790
CK_00000623,CK_Syn_WH8102_01842,PF16639  PF01333  PF01333,PF01333|PF16639
CK_00000625,CK_Syn_WH8016_01391,PF05833  PF05670  PF05670,PF05670|PF05833
CK_00000627,CK_Syn_A15-62_00676,PF00814,PF00814
CK_00000628,CK_Syn_CC9311_02162,PF00999,PF00999
CK_00000629,CK_Pro_MIT9313_01308,PF00749,PF00749|PF19269
