SeqCluster,Domain_IDs,ClusterNumber,Pfam_result
CK_00000043,PF00487,CK_Syn_RS9916_36757,PF00487
CK_00000045,PF00916  PF06501  PF13466,CK_Pro_MIT0701_00932,PF00916|PF01740
CK_00000049,PF02016,CK_Syn_KORDI-100_07720,PF02016|PF17676
CK_00000051,PF00005  PF13304  PF13732,CK_Syn_CC9616_00809,PF00005|PF13732
CK_00000053,PF01479  PF00849,CK_Syn_BIOS-U3-1_03251,PF00849|PF01479
CK_00000054,PF00912  PF00905  PF00905,CK_Pro_GP2_00600,PF00905|PF00912
CK_00000055,PF06862  PF03880,CK_Syn_KORDI-100_13010,PF00270|PF00271|PF03880
CK_00000059,PF00106  PF13561,CK_Syn_WH8101_02274,PF00106
CK_00000060,PF02492  PF07683  PF07683,CK_Pro_MIT9321_01250,PF02492|PF07683
CK_00000061,PF01746  PF02542  PF02542,CK_Pro_GP2_01444,PF01746|PF02542
CK_00000065,PF00403  PF00122  PF00122  PF00702  PF08282,CK_Syn_NOUM97013_02623,PF00122|PF00403|PF00702
CK_00000066,PF00109  PF02801  PF02801  PF16197,CK_Cya_CB0101_14099,PF00109|PF02801
CK_00000068,PF13343,CK_Pro_MIT0601_01287,PF13343
CK_00000073,PF12704  PF02687,CK_Syn_MITS9220_01569,PF02687
CK_00000074,PF13347,CK_Syn_BMK-MC-1_02467,PF13347
CK_00000076,PF13433,CK_Syn_RS9916_37132,PF13433
CK_00000078, ,CK_Syn_NOUM97013_00495, 
CK_00000080,PF00950,CK_Cya_NS01_01539,PF00950
CK_00000083,PF00171  PF07368,CK_Pro_SS35_01039,PF00171
CK_00000086,PF05834,CK_Syn_RCC307_00743,PF05834
CK_00000088,PF00483  PF00132  PF00132  PF00132,CK_Syn_RS9916_35932,PF00483
CK_00000090,PF16363,CK_Pro_PAC1_02026,PF01370
CK_00000092,PF00977,CK_Pro_MIT9313_00274,PF00977
CK_00000093,PF00291,CK_Syn_MITS9220_03093,PF00291
CK_00000098,PF00202,CK_Syn_RS9902_02432,PF00202
CK_00000100,PF02776  PF02776  PF00205  PF02775,CK_Syn_PROS-U-1_00887,PF00205|PF02775|PF02776
CK_00000102,PF07992  PF02852  PF02852,CK_Pro_MIT9202_00439,PF02852|PF07992
CK_00000103,PF03951  PF03951  PF00120,CK_Syn_TAK9802_01467,PF00120|PF03951
CK_00000105,PF00672  PF13188  PF08447  PF00512  PF02518,CK_Syn_MINOS11_01969,PF00512|PF00672|PF02518|PF08448
CK_00000106,PF00389  PF02826  PF03315  PF01842,CK_Syn_A15-62_02290,PF00389|PF01842|PF02826|PF19304
CK_00000111,PF18073  PF06745  PF13541,CK_Cya_CB0205_01021,PF13481|PF13541|PF18073
CK_00000113,PF00662  PF00361  PF01010  PF06455,CK_Syn_KORDI-49_24580,PF00361|PF00662|PF01010
CK_00000114,PF00493  PF13519,CK_Pro_MIT9116_01736,PF01078|PF13519|PF17863
CK_00000115,PF16363,CK_Pro_NATL1A_08571,PF16363
CK_00000116,PF04257  PF12073,CK_Pro_MIT0701_01743,PF00580|PF13361|PF21196
CK_00000118,PF00343,CK_Syn_PROS-U-1_00219,PF00343
CK_00000119,PF01964,CK_Syn_BL107_05954,PF01964
CK_00000123,PF01370,CK_Syn_PROS-U-1_00057,PF01370
CK_00000124,PF07690,CK_Syn_RS9907_02993,PF07690
CK_00000125,PF00772  PF03796,CK_Syn_BIOS-E4-1_04280,PF00772|PF03796
CK_00000126,PF00437,CK_Syn_A15-60_01035,PF00437
CK_00000134,PF00310  PF04898  PF01645  PF01645  PF01645  PF01645  PF01645  PF01493,CK_Pro_MIT9123_01135,PF00310|PF01493|PF01645|PF04898
CK_00000136,PF13646  PF03130  PF13646  PF02985  PF12717,CK_Syn_A18-40_02265,PF13646
CK_00000138,PF00171,CK_Pro_MIT9314_00832,PF00171
CK_00000140,PF13409  PF13410,CK_Syn_RS9909_02390,PF13409|PF13410
CK_00000144,PF03372,CK_Syn_PROS-7-1_02075,PF03372
CK_00000145,PF05834,CK_Syn_MEDNS5_00672,PF01266
CK_00000149,PF00226  PF13355,CK_Pro_MIT0702_00301,PF13355
CK_00000152,PF00275,CK_Pro_MIT9311_00369,PF00275
CK_00000153,PF00676,CK_Syn_PROS-9-1_00752,PF00676
CK_00000156,PF13604  PF18335  PF13538,CK_Syn_A18-46.1_01020,PF13245|PF13538
CK_00000157,PF00465,CK_Syn_A15-60_02268,PF00465
CK_00000158,PF01225  PF08245,CK_Cya_CB0205_50027,PF01225|PF02875|PF08245
CK_00000161,PF01425,CK_Pro_MIT0701_02689,PF01425
CK_00000164,PF13393,CK_Cya_NS01_01223,PF13393
CK_00000165,PF00528,CK_Pro_NATL1A_09831,PF00528
CK_00000168,PF08206  PF17876  PF00773  PF18614,CK_Syn_RS9909_01112,PF00575|PF00773|PF08206
CK_00000169,PF02915,CK_Syn_A18-46.1_01364,PF02915
CK_00000173,PF00421  PF00421,CK_Pro_LG_00503,PF00421
CK_00000181,PF04563  PF04561  PF00562  PF04560  PF04560,CK_Pro_MIT9303_04361,PF00562|PF04560|PF04561|PF04563|PF04565|PF10385
CK_00000184,PF08355  PF12631  PF01926  PF05128,CK_Syn_A15-127_02302,PF01926|PF05128
CK_00000188,PF07498  PF16258,CK_Syn_A15-24_00382,PF07498|PF16258
CK_00000189,PF03600  PF02080  PF02080  PF00939,CK_Syn_KORDI-52_24070,PF02080|PF03600
CK_00000193,PF17820  PF04055  PF04459,CK_Pro_LG_01094,PF04459|PF17820|PF19238
CK_00000194,PF02673,CK_Pro_MIT9515_10391,PF02673
CK_00000195,PF11318,CK_Pro_MIT9313_00179,PF11318
CK_00000196,PF00890  PF02910,CK_Pro_MIT9201_01900,PF00890|PF02910
CK_00000197,PF07884  PF00085,CK_Syn_PROS-7-1_02504,PF07884
CK_00000198,PF00919  PF04055  PF18693,CK_Syn_RS9917_07410,PF00919|PF04055|PF18693
CK_00000201,PF01242  PF01242  PF01242,CK_Syn_WH8103_02531,PF01242
CK_00000205,PF00933  PF18034,CK_Syn_PROS-U-1_02815,PF00933|PF18034
CK_00000206,PF02602,CK_Syn_SYN20_03069,PF02602
CK_00000208,PF01593,CK_Syn_BOUM118_02453,PF01593
CK_00000212,PF01370  PF08338,CK_Syn_NOUM97013_02602,PF01370|PF08338
CK_00000217,PF13177  PF03215,CK_Syn_TAK9802_02403,PF13177
CK_00000220,PF02504,CK_Cya_PCC6307_02914,PF02504
CK_00000221,PF08392  PF02797  PF02797,CK_Cya_PCC6307_02913,PF08541|PF08545
CK_00000222,PF00698,CK_Pro_MIT9312_00139,PF00698
CK_00000225,PF01743  PF01743  PF12627  PF13735,CK_Syn_WH8101_02668,PF01743|PF12627
CK_00000227,PF00494,CK_Syn_WH8016_01850,PF00494
CK_00000228,PF01593,CK_Syn_SYN20_03118,PF01593
CK_00000230,PF00126  PF03466,CK_Syn_RS9902_02710,PF00126|PF03466
CK_00000232,PF02616,CK_Pro_MIT9202_00012,PF02616
CK_00000233,PF02219,CK_Syn_A15-62_02568,PF02219
CK_00000236,PF01513,CK_Syn_BIOS-E4-1_04134,PF01513|PF20143
CK_00000240,PF00146,CK_Pro_GP2_00330,PF00146
CK_00000241,PF00285,CK_Pro_GP2_00331,PF00285
CK_00000242,PF03023,CK_Pro_MIT9202_00871,PF03023
CK_00000244,PF00909,CK_Pro_MIT9202_00737,PF00909
CK_00000245,PF02401,CK_Pro_MIT9321_00778,PF02401
CK_00000246,PF02142  PF01808,CK_Syn_A15-62_00266,PF01808|PF02142
CK_00000249,PF16926  PF00512  PF02518,CK_Pro_MIT9123_00300,PF00512|PF02518
CK_00000251,PF01702,CK_Syn_NOUM97013_00313,PF01702
CK_00000253,PF01408  PF08635,CK_Syn_WH7805_07766,PF01408|PF22725
CK_00000254,PF01595  PF01595  PF00571  PF00478  PF00571  PF03471,CK_Syn_BL107_05334,PF00571|PF01595|PF03471
CK_00000256,PF01571  PF08669,CK_Pro_MIT9301_03001, 
CK_00000257,PF01930  PF14520  PF13482,CK_Pro_MIT9401_00531,PF13482
CK_00000258,PF02878  PF02878  PF02879  PF02880  PF00408,CK_Pro_HNLC2_00319,PF00408|PF02878|PF02879|PF02880
CK_00000259,PF03055,CK_Pro_HNLC2_00321,PF03055
CK_00000261,PF13561,CK_Pro_MIT9107_01677,PF13561
CK_00000264,PF02470  PF11887,CK_Syn_PROS-7-1_00319,PF02470
CK_00000265,PF01933,CK_Pro_MIT9202_00533,PF01933
CK_00000267,PF01058,CK_Syn_SYN20_00317,PF01058
CK_00000270,PF14870,CK_Pro_MIT9321_00810,PF14870
CK_00000273,PF03721  PF00984  PF00984  PF03720,CK_Syn_PROS-9-1_00253,PF00984|PF03720|PF03721
CK_00000274,PF16363,CK_Syn_A15-127_00217,PF16363
CK_00000275,PF13393  PF12745,CK_Syn_A15-24_00258,PF03129|PF13393
CK_00000277,PF07992  PF00586  PF02769,CK_Syn_WH8109_00184,PF00586|PF02769
CK_00000278,PF01743  PF01743  PF13735,CK_Pro_MIT9311_00839,PF01743
CK_00000280,PF00180,CK_Pro_MIT0603_01903,PF00180
CK_00000281,PF07005  PF17042  PF17042,CK_Syn_WH7803_00215,PF07005|PF17042
CK_00000282,PF01263,CK_Syn_CC9605_00156,PF01263
CK_00000283,PF00999,CK_Syn_BOUM118_00157,PF00999
CK_00000288,PF13230  PF13537  PF13537  PF01380  PF01380,CK_Pro_MIT9313_01953,PF01380|PF13522
CK_00000291,PF00456  PF02779  PF02779  PF02780,CK_Cya_PCC6307_02185,PF00456|PF02779|PF22613
CK_00000292,PF01546  PF07687,CK_Cya_CB0205_02836,PF01546|PF07687
CK_00000293,PF14559  PF14559  PF07219  PF13424  PF13432,CK_Syn_RS9915_00143,PF13432
CK_00000294,PF05496  PF17864  PF05491,CK_Pro_AS9601_18251,PF05491|PF05496|PF17864
CK_00000297,PF01336  PF00152,CK_Pro_LG_01641,PF00152|PF01336
CK_00000300,PF06723,CK_Syn_CC9605_00105,PF06723
CK_00000303,PF05221  PF00670  PF00670  PF00670,CK_Pro_MIT9515_18141,PF00670|PF05221
CK_00000305,PF00294,CK_Pro_MIT9211_17531,PF00294
CK_00000307,PF03448  PF01368  PF00571  PF00571  PF01769,CK_Syn_WH8102_00101,PF00571|PF01769|PF03448
CK_00000309,PF02518  PF00204  PF00204  PF01751  PF16898,CK_Syn_KORDI-100_01630,PF00204|PF00986|PF01751|PF02518
CK_00000310,PF01745  PF01715,CK_Pro_NATL1A_20891,PF01715
CK_00000312,PF00392,CK_Syn_KORDI-100_01590,PF00392
CK_00000315,PF01624  PF01624  PF05188  PF05192  PF05190  PF00488,CK_Syn_KORDI-100_00820,PF00488|PF01624|PF05188|PF05190|PF05192
CK_00000317,PF04851  PF00271  PF12344  PF02151,CK_Syn_A18-40_00078,PF00271|PF02151|PF04851|PF12344|PF17757
CK_00000318,PF04481,CK_Syn_RS9909_00074,PF04481
CK_00000319,PF01171  PF09179,CK_Syn_A15-28_00077,PF01171|PF09179
CK_00000321,PF06144  PF12169,CK_Pro_SS120_01807,PF06144|PF21694
CK_00000322,PF00753  PF12706  PF07521  PF17770,CK_Syn_RS9916_37927,PF00753|PF07521|PF17770|PF22505
CK_00000323,PF00701,CK_Syn_RS9909_00070,PF00701
CK_00000324,PF01118  PF02774,CK_Pro_MIT9303_00711,PF01118|PF02774
CK_00000325,PF06689  PF06689  PF07724  PF10431,CK_Syn_RS9902_00068,PF06689|PF07724|PF10431
CK_00000326,PF13177  PF13177  PF03215  PF12169  PF12170,CK_Pro_MIT0601_00345,PF12169|PF13177|PF22608
CK_00000327,PF03142,CK_Pro_MIT9107_00076,PF13641
CK_00000332,PF05690,CK_Cya_WH5701_02974,PF05690
CK_00000333,PF05693,CK_Cya_NS01_00061,PF00534|PF13439
CK_00000334,PF03717  PF00905,CK_Syn_MVIR-18-1_00055,PF00905|PF03717
CK_00000336,PF00117  PF00764  PF02540  PF00958,CK_Pro_MIT9322_00408,PF00117|PF00958|PF02540
CK_00000337,PF01888,CK_Syn_PROS-9-1_00049,PF01888
CK_00000338,PF00266  PF00266,CK_Syn_WH8020_00057,PF00266
CK_00000340,PF13460  PF01073,CK_Pro_MIT0601_01042,PF01370
CK_00000341,PF04166,CK_Pro_MIT9322_00398,PF04166
CK_00000344,PF05757  PF00160,CK_Syn_WH8101_00031,PF00160|PF21329
CK_00000345,PF00586  PF02769,CK_Pro_MIT9311_01453,PF00586|PF02769
CK_00000346,PF01225  PF08245  PF02875,CK_Pro_MIT9515_00211,PF01225|PF02875|PF08245
CK_00000347,PF01565  PF02873,CK_Pro_MIT0604_00021,PF01565|PF02873
CK_00000349,PF16745  PF03193,CK_Syn_KORDI-100_00240,PF03193
CK_00000350,PF00226  PF00226  PF01556  PF00684,CK_Syn_A15-127_00022,PF00226|PF00684|PF01556
CK_00000352,PF03486,CK_Syn_RS9902_00017,PF03486|PF22780
CK_00000353,PF01207  PF01207,CK_Syn_PROS-9-1_00015,PF01207
CK_00000354,PF00206  PF14698  PF14698,CK_Pro_MIT9312_00012,PF00206|PF14698
CK_00000355,PF07228,CK_Pro_HNLC2_01629,PF07228
CK_00000359,PF13486  PF13187  PF12838  PF13484,CK_Syn_WH7803_00007,PF08331|PF13484
CK_00000360,PF09295  PF14559  PF13181  PF13431  PF13414,CK_Pro_MIT9301_00051,PF13432
CK_00000361,PF13230  PF00156,CK_Pro_AS9601_00031,PF00156|PF13522
CK_00000362,PF18072  PF00586  PF02769  PF00586  PF02769,CK_Pro_NATL2A_01330,PF00586|PF02769|PF18072
CK_00000364,PF00712  PF02767  PF02768,CK_Pro_SS120_00001,PF00712|PF02767|PF02768
CK_00000366,PF02463,CK_Syn_M16.1_02556,PF02463
CK_00000367,PF13555  PF17760  PF17755  PF00005  PF13304  PF00005,CK_Pro_UH18301_01549,PF17755|PF17760
CK_00000368,PF00862  PF00862  PF00534  PF00534  PF05116,CK_Syn_A15-44_03205,PF00534|PF05116|PF13439
CK_00000369,PF02826  PF02222  PF17769,CK_Syn_WH8101_02929,PF02222|PF21244|PF22660
CK_00000371,PF10555  PF00953,CK_Pro_GP2_01875,PF00953|PF10555
CK_00000373,PF00764,CK_Pro_MIT0602_01564,PF00764|PF20979
CK_00000376,PF08501  PF01262  PF18317,CK_Syn_A15-62_02818,PF08501|PF18317
CK_00000377,PF01266,CK_Pro_NATL1A_21851,PF01266
CK_00000378,PF04932,CK_Syn_PROS-7-1_50003,PF04932
CK_00000380,PF11791  PF06434  PF06434  PF06434  PF00330,CK_Pro_MIT0604_02070,PF00330|PF06434|PF11791
CK_00000381,PF00793,CK_Pro_MIT9322_00126,PF00793
CK_00000383,PF13089  PF02503  PF13090  PF17941  PF13090,CK_Syn_PROS-9-1_02794,PF02503|PF13089|PF13090|PF17941
CK_00000384,PF00590,CK_Syn_CC9902_02282,PF00590
CK_00000385,PF01063,CK_Pro_MIT9314_01492,PF01063
CK_00000386,PF04715  PF00425,CK_Syn_A15-24_02670,PF00425
CK_00000389,PF06418  PF00117  PF00117,CK_Syn_A15-44_03108,PF00117|PF06418
CK_00000390,PF01336  PF00152  PF02938,CK_Pro_MED4_01688,PF00152|PF01336|PF02938
CK_00000391,PF01571  PF08669,CK_Syn_RS9909_02762,PF01571|PF08669
CK_00000392,PF00491,CK_Pro_SS120_01849,PF00491
CK_00000393,PF17284  PF01564,CK_Pro_MIT9322_00140,PF01564|PF17284
CK_00000395,PF03819  PF03819  PF01503,CK_Pro_MIT9313_02211,PF03819
CK_00000396,PF13483,CK_Pro_MIT0702_02323,PF13483
CK_00000398,PF00106,CK_Pro_MIT9401_00313,PF00106
CK_00000401,PF00133  PF09334  PF08264  PF08264  PF10458,CK_Syn_PROS-U-1_03032,PF00133|PF08264|PF10458
CK_00000406,PF01134  PF13932  PF13932,CK_Syn_WH8102_02382,PF01134|PF13932|PF21680
CK_00000408,PF06838,CK_Syn_CC9605_02540,PF06838
CK_00000410,PF02347  PF02347  PF00266  PF02347,CK_Syn_RCC307_02390,PF02347|PF21478
CK_00000411,PF00753  PF12724  PF01613,CK_Syn_MEDNS5_02638,PF00258|PF01613|PF19583
CK_00000412,PF00753  PF12724  PF01613,CK_Syn_WH8103_02724,PF01613|PF19583
CK_00000413,PF12419  PF00176  PF02364  PF00271  PF14619,CK_Syn_A18-40_02660,PF00176|PF00271|PF12419
CK_00000414,PF01411  PF07973  PF08270  PF02272,CK_Cya_WH5701_04865,PF01411|PF02272|PF07973
CK_00000415,PF02784  PF00278,CK_Pro_UH18301_00046,PF02784|PF17810|PF17944
CK_00000417,PF01266,CK_Cya_WH5701_04925,PF01266
CK_00000418,PF02934  PF02637  PF02637,CK_Cya_CB0205_01588,PF02637|PF02934
CK_00000420,PF01960,CK_Syn_WH8101_02779,PF01960
CK_00000421,PF03109  PF01636,CK_Pro_MIT9515_02381,PF03109
CK_00000422,PF03952  PF03952  PF00113,CK_Syn_WH8016_01956,PF00113|PF03952
CK_00000431,PF01180,CK_Pro_MIT9107_01765,PF01180
CK_00000432,PF00155,CK_Syn_PROS-U-1_02933,PF00155
CK_00000433,PF04007,CK_Pro_MIT9123_00112,PF03033|PF04101
CK_00000435,PF00071  PF12631  PF01926,CK_Syn_PROS-7-1_02659,PF01926
CK_00000436,PF10396  PF12631  PF12631  PF01926,CK_Syn_BOUM118_02563,PF01926|PF10396|PF12631
CK_00000437,PF02749  PF01729,CK_Syn_WH8103_02662,PF01729|PF02749
CK_00000438,PF03485  PF00750  PF05746,CK_Pro_SS52_00365,PF00750|PF03485|PF05746
CK_00000439,PF00155,CK_Syn_M16.1_02365,PF00155
CK_00000444,PF03462  PF00472,CK_Pro_MIT0603_00185,PF00472|PF03462
CK_00000446,PF02951  PF02955,CK_Syn_RS9909_02617,PF02951|PF02955
CK_00000447,PF01040,CK_Pro_MIT0603_00181,PF01040
CK_00000449,PF00374  PF00346,CK_Pro_MIT9322_00556,PF00346
CK_00000455,PF00291,CK_Pro_MIT9312_00166,PF00291
CK_00000458,PF00464,CK_Pro_MIT0702_00458,PF00464
CK_00000459,PF00994  PF00994  PF18146  PF02464,CK_Syn_PROS-U-1_00340,PF00994|PF02464|PF18146
CK_00000460,PF00330,CK_Pro_MIT9107_01703,PF00330
CK_00000462,PF06835  PF03968  PF12600,CK_Pro_MIT9312_00256,PF12600
CK_00000467,PF11283,CK_Pro_PAC1_01230,PF11283
CK_00000472,PF02878  PF02879  PF02880  PF00408,CK_Pro_MIT9116_01783,PF00408|PF02878|PF02879|PF02880
CK_00000475,PF00133  PF08264  PF06827,CK_Syn_WH7803_00335,PF00133|PF06827|PF08264
CK_00000477,PF02729  PF00185  PF00185,CK_Pro_SB_00989,PF00185|PF02729
CK_00000479,PF02441  PF02441  PF04127,CK_Cya_PCC6307_01886,PF02441|PF04127
CK_00000480,PF01716,CK_Syn_KORDI-100_04130,PF01716
CK_00000481,PF14306  PF14306  PF01747,CK_Pro_SS35_01633,PF01747|PF14306
CK_00000482,PF01264,CK_Syn_MVIR-18-1_00410,PF01264
CK_00000483,PF02310  PF04055,CK_Cya_NS01_02624,PF04055
CK_00000486,PF00155,CK_Syn_RS9902_00311,PF00155
CK_00000487,PF00575  PF00575  PF10150,CK_Syn_WH7805_07311,PF10150
CK_00000490,PF00800  PF01842,CK_Pro_NATL1A_19451,PF00800|PF01842
CK_00000491,PF02353,CK_Pro_MIT9313_01785,PF08241
CK_00000494,PF00009  PF03144  PF03143  PF03143,CK_Cya_CB0101_13145,PF00009|PF03143|PF03144
CK_00000495,PF00009  PF14492  PF03764  PF03764  PF03764  PF00679,CK_Pro_MIT9321_01274,PF00009|PF00679|PF03144|PF03764|PF14492
CK_00000500,PF11760  PF11761  PF01890  PF01890  PF00590,CK_Syn_WH8101_00442,PF00590|PF01890|PF11760
CK_00000502,PF00535,CK_Pro_MIT0604_01861,PF00535
CK_00000503,PF18348  PF10844  PF00877,CK_Pro_MIT0604_01857,PF00877|PF18348
CK_00000504,PF13354,CK_Pro_EQPAC1_01072,PF13354
CK_00000505,PF01168  PF00842,CK_Syn_RS9909_00506,PF00842|PF01168
CK_00000507,PF16326  PF03462  PF00472,CK_Pro_MIT9321_01294,PF00472|PF03462
CK_00000511,PF01416,CK_Syn_WH8102_02092,PF01416
CK_00000513,PF01193  PF01000  PF01193  PF03118,CK_Cya_CB0205_04816,PF01000|PF01193|PF03118
CK_00000518,PF10559  PF00344,CK_Cya_PCC6307_01829,PF00344
CK_00000531,PF00181  PF00181  PF03947,CK_Pro_MIT9312_01647,PF00181|PF03947
CK_00000536,PF13187  PF14697  PF13237  PF12617,CK_Pro_MIT0602_01734,PF00037|PF12617
CK_00000538,PF00154,CK_Pro_MIT9211_16811,PF00154|PF21096
CK_00000540,PF13307,CK_Syn_A18-46.1_02413,PF13307
CK_00000541,PF02153,CK_Pro_AS9601_17721,PF02153|PF20463
CK_00000542,PF01593,CK_Syn_WH8101_00499,PF01593
CK_00000543,PF03881,CK_Pro_HNLC2_01449,PF03881
CK_00000545,PF00899  PF00581,CK_Syn_WH8101_00503,PF00581|PF00899
CK_00000546,PF02572  PF02572  PF02572,CK_Syn_WH8103_02360,PF02572
CK_00000547,PF00733,CK_Syn_ROS8604_00662,PF00733
CK_00000549,PF02463,CK_Syn_A18-25c_00464,PF02463
CK_00000551,PF00311,CK_Syn_CC9616_00517,PF00311
CK_00000552,PF04107,CK_Pro_MIT9401_00449,PF04107
CK_00000553,PF04715  PF00425,CK_Pro_UH18301_00974,PF00425|PF04715
CK_00000555,PF00512  PF13581,CK_Pro_MIT0703_01330,PF00512
CK_00000556,PF01098,CK_Cya_PCC7001_01093,PF01098
CK_00000557,PF01883  PF10609,CK_Syn_BIOS-E4-1_00579,PF01883|PF10609
CK_00000558,PF01218,CK_Syn_A18-40_02301,PF01218
CK_00000561,PF02684,CK_Pro_MIT9515_17731, 
CK_00000563,PF00586  PF02769,CK_Syn_MINOS11_02234,PF00586|PF02769
CK_00000564,PF02569  PF02224  PF02224,CK_Cya_PCC6307_01643,PF02224|PF02569
CK_00000566,PF00370  PF00370  PF02782,CK_Syn_A15-24_02186,PF02782
CK_00000567,PF00438  PF00438  PF00438  PF02772  PF02773,CK_Pro_NATL1A_04001,PF00438|PF02772|PF02773
CK_00000568,PF00575  PF00575  PF05764  PF00575,CK_Syn_WH8102_01985,PF00575
CK_00000570,PF00421,CK_Syn_ROS8604_00759,PF00421
CK_00000573,PF17827  PF13847,CK_Syn_CC9311_00540,PF05175
CK_00000576,PF10609,CK_Pro_MIT0702_00995,PF10609
CK_00000578,PF01966,CK_Pro_MIT9515_03551,PF01966|PF19276
CK_00000581,PF12899,CK_Syn_WH8016_02801,PF12899
CK_00000582,PF01149  PF06831  PF06827,CK_Syn_A15-44_00504,PF01149|PF06827|PF06831
CK_00000586,PF05192  PF00488  PF00488  PF01713,CK_Syn_WH8102_01931,PF00488|PF01713|PF20297
CK_00000587,PF01018  PF01926  PF10662,CK_Pro_MIT0703_00237,PF01018|PF01926
CK_00000588,PF04952,CK_Pro_MIT9107_01742,PF04952
CK_00000589,PF00294,CK_Pro_SS35_00949,PF00294
CK_00000590,PF00590,CK_Syn_WH8016_01328,PF00590
CK_00000591,PF00459,CK_Pro_EQPAC1_00836,PF00459
CK_00000592,PF01138  PF03725  PF03726  PF01138  PF03725  PF00013  PF05764  PF00575,CK_Pro_MIT9311_01077,PF00013|PF00575|PF01138|PF03725|PF03726
CK_00000594,PF02163  PF13180,CK_Cya_CB0205_00192,PF02163|PF13180
CK_00000595,PF02403  PF02403  PF00587,CK_Syn_CC9605_00573,PF00587|PF02403
CK_00000596,PF01695  PF01078  PF07728  PF00004  PF17862,CK_Syn_BIOS-U3-1_02593,PF00004|PF17862
CK_00000597,PF02096,CK_Syn_RS9916_33717,PF02096
CK_00000601,PF01343,CK_Syn_CC9605_00583,PF01343
CK_00000602,PF06027  PF00892,CK_Pro_MIT9303_06161,PF00892
CK_00000604,PF16917,CK_Syn_CC9616_00785,PF03099
CK_00000605,PF06605  PF01551  PF01551,CK_Pro_MIT0701_01913,PF01551
CK_00000606,PF01059  PF00361,CK_Syn_A18-40_02078,PF00361
CK_00000607,PF01751  PF01751  PF01131  PF13368  PF13368  PF13368  PF13368,CK_Cya_PCC7001_01114,PF01131|PF01751|PF13368
CK_00000609,PF02277,CK_Syn_RS9902_02493,PF02277
CK_00000610, ,CK_Cya_NS01_02221,PF13343
CK_00000611,PF00248  PF13534,CK_Cya_WH5701_07711,PF00248|PF13187
CK_00000614,PF02790  PF00116,CK_Pro_MIT9301_04701,PF00116|PF02790
CK_00000615,PF02628,CK_Pro_MIT0801_00530,PF02628
CK_00000616,PF01040,CK_Syn_A18-40_02062,PF01040
CK_00000617,PF00497  PF07885  PF07885  PF02254  PF02080,CK_Syn_MINOS11_00766,PF02080|PF02254|PF07885
CK_00000619,PF01040,CK_Syn_A18-40_02050,PF01040
CK_00000620,PF02541  PF01966,CK_Pro_GP2_00631,PF02541|PF21447
CK_00000621,PF00590,CK_Pro_MIT0701_02435,PF00590
CK_00000622,PF01790,CK_Syn_NOUM97013_02163,PF01790
CK_00000623,PF16639  PF01333  PF01333,CK_Syn_WH8102_01842,PF01333|PF16639
CK_00000625,PF05833  PF05670  PF05670,CK_Syn_WH8016_01391,PF05670|PF05833
CK_00000627,PF00814,CK_Syn_A15-62_00676,PF00814
CK_00000628,PF00999,CK_Syn_CC9311_02162,PF00999
CK_00000629,PF00749,CK_Pro_MIT9313_01308,PF00749|PF19269
